company,sources,headquarters,industry,found_ats,verified_slug,job_count
Energy Services of America CORP,sec_edgar,,,,,0
BLACKROCK FLOATING RATE INCOME TRUST,sec_edgar,,,,,0
Immuneering Corp,sec_edgar,,,,,0
Fifth Era Acquisition Corp I,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"ROCKET PHARMACEUTICALS, INC.","sec_edgar,sec_edgar",,,,,0
Viking Acquisition Corp I,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Oxley Bridge Acquisition Ltd,"sec_edgar,sec_edgar,sec_edgar",,,,,0
NORWOOD FINANCIAL CORP,sec_edgar,,,,,0
"CapsoVision, Inc",sec_edgar,,,,,0
Spring Valley Acquisition Corp. III,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"First Bancorp, Inc /ME/",sec_edgar,,,,,0
Roman DBDR Acquisition Corp. II,"sec_edgar,sec_edgar,sec_edgar",,,,,0
LexinFintech Holdings Ltd.,sec_edgar,,,,,0
Sizzle Acquisition Corp. II,"sec_edgar,sec_edgar,sec_edgar",,,,,0
VISTA GOLD CORP,sec_edgar,,,,,0
Pioneer Acquisition I Corp,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"Agora, Inc.",sec_edgar,,,,,0
YD Bio Ltd,"sec_edgar,sec_edgar",,,,,0
Nuveen S&P 500 Dynamic Overwrite Fund,sec_edgar,,,,,0
SIGA TECHNOLOGIES INC,sec_edgar,,,,,0
Regional Management Corp.,sec_edgar,,,,,0
GUANAJUATO SILVER CO LTD,sec_edgar,,,,,0
"CARLSMED, INC.",sec_edgar,,,,,0
"Invivyd, Inc.",sec_edgar,,,greenhouse,invivyd,29
BLACKROCK SILVER CORP.,sec_edgar,,,,,0
NXG NextGen Infrastructure Income Fund,sec_edgar,,,,,0
"Lineage Cell Therapeutics, Inc.",sec_edgar,,,,,0
Evolution Global Acquisition Corp,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Perimeter Acquisition Corp. I,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"CSLM Digital Asset Acquisition Corp III, Ltd","sec_edgar,sec_edgar,sec_edgar",,,,,0
"Public Policy Holding Company, Inc.",sec_edgar,,,greenhouse,public,4
Patriot Acquisition Corp./CI,"sec_edgar,sec_edgar",,,,,0
Sitka Gold Corp.,sec_edgar,,,,,0
"Neumora Therapeutics, Inc.",sec_edgar,,,greenhouse,neumora,2
AUNA S.A.,sec_edgar,,,,,0
"TENAX THERAPEUTICS, INC.",sec_edgar,,,,,0
Aldel Financial II Inc.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Volatus Aerospace Inc.,sec_edgar,,,,,0
Nano Dimension Ltd.,sec_edgar,,,,,0
ALLIANCE ENTERTAINMENT HOLDING CORP,"sec_edgar,sec_edgar",,,,,0
Aurion Resources Ltd.,sec_edgar,,,,,0
Ellomay Capital Ltd.,sec_edgar,,,greenhouse,ec,2
"RiverNorth Flexible Municipal Income Fund II, Inc.",sec_edgar,,,,,0
Safeguard Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,,greenhouse,sa,1
TIMBERLAND BANCORP INC,sec_edgar,,,,,0
Andretti Acquisition Corp. II,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"Claros Mortgage Trust, Inc.",sec_edgar,,,greenhouse,claros,5
Platinum Analytics Cayman Ltd,sec_edgar,,,,,0
VALUE LINE INC,sec_edgar,,,,,0
8X8 INC /DE/,sec_edgar,,,,,0
Texas Ventures Acquisition III Corp,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Range Capital Acquisition Corp II,"sec_edgar,sec_edgar,sec_edgar",,,greenhouse,range,17
"Surrozen, Inc./DE","sec_edgar,sec_edgar",,,,,0
Jackson Acquisition Co II,"sec_edgar,sec_edgar,sec_edgar",,,,,0
MEXICO FUND INC,sec_edgar,,,,,0
ALLIANCEBERNSTEIN NATIONAL MUNICIPAL INCOME FUND,sec_edgar,,,,,0
BK Technologies Corp,sec_edgar,,,,,0
McKinley Acquisition Corp,"sec_edgar,sec_edgar,sec_edgar",,,greenhouse,ma,1
BUUU Group Ltd,sec_edgar,,,,,0
"RIVERNORTH OPPORTUNITIES FUND, INC.","sec_edgar,sec_edgar",,,,,0
"Electromed, Inc.",sec_edgar,,,,,0
"TSS, Inc.",sec_edgar,,,greenhouse,tss,3
Oatly Group AB,sec_edgar,,,,,0
CITIZENS FINANCIAL SERVICES INC,sec_edgar,,,,,0
Activate Energy Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,,greenhouse,activate,4
TRANSCONTINENTAL REALTY INVESTORS INC,sec_edgar,,,lever,tri,13
"Crexendo, Inc.",sec_edgar,,,,,0
"Silvaco Group, Inc.",sec_edgar,,,,,0
Sidus Space Inc.,sec_edgar,,,,,0
NUVEEN CALIFORNIA MUNICIPAL VALUE FUND,sec_edgar,,,,,0
Abony Acquisition Corp. I,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"CoastalSouth Bancshares, Inc.",sec_edgar,,,,,0
"Optimum Communications, Inc.",sec_edgar,,,,,0
Silver Storm Mining Ltd.,sec_edgar,,,,,0
Graf Global Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"Barnes & Noble Education, Inc.",sec_edgar,,,,,0
Columbus Circle Capital Corp II,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"Rezolute, Inc.",sec_edgar,,,,,0
Legato Merger Corp. IV,"sec_edgar,sec_edgar,sec_edgar",,,,,0
GRAN TIERRA ENERGY INC.,sec_edgar,,,,,0
Launch One Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Illumination Acquisition Corp. I,"sec_edgar,sec_edgar,sec_edgar",,,lever,illumination,2
Eaton Vance Senior Floating-Rate Trust,sec_edgar,,,,,0
BICYCLE THERAPEUTICS PLC,sec_edgar,,,,,0
REGENXBIO Inc.,sec_edgar,,,lever,regenxbio,5
"SHOULDER INNOVATIONS, INC.",sec_edgar,,,greenhouse,si,4
DiaMedica Therapeutics Inc.,sec_edgar,,,,,0
Spartacus Acquisition Corp. II,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Spring Valley Acquisition Corp. IV,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Cambridge Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Launch Two Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Valens Semiconductor Ltd.,"sec_edgar,sec_edgar",,,,,0
Seaport Entertainment Group Inc.,sec_edgar,,,,,0
LightWave Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Rithm Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"Ares Dynamic Credit Allocation Fund, Inc.",sec_edgar,,,,,0
Pantheon Resources plc,sec_edgar,,,greenhouse,pantheon,25
ITHAX Acquisition Corp III,"sec_edgar,sec_edgar,sec_edgar",,,,,0
ISABELLA BANK CORP,sec_edgar,,,,,0
Vine Hill Capital Investment Corp. II,"sec_edgar,sec_edgar,sec_edgar",,,,,0
MBIA INC,sec_edgar,,,,,0
E.W. SCRIPPS Co,sec_edgar,,,,,0
Globa Terra Acquisition Corp,"sec_edgar,sec_edgar,sec_edgar,sec_edgar",,,,,0
ABEONA THERAPEUTICS INC.,sec_edgar,,,,,0
Vertical Aerospace Ltd.,"sec_edgar,sec_edgar,sec_edgar,sec_edgar",,,,,0
White Gold Corp.,sec_edgar,,,,,0
Bitcoin Infrastructure Acquisition Corp Ltd,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Citi Trends Inc,sec_edgar,,,,,0
COHEN & STEERS TOTAL RETURN REALTY FUND INC,sec_edgar,,,greenhouse,cohensteers,19
NERVGEN PHARMA CORP.,sec_edgar,,,,,0
"NewLake Capital Partners, Inc.",sec_edgar,,,,,0
"Nautilus Biotechnology, Inc.",sec_edgar,,,,,0
NEUBERGER MUNICIPAL FUND INC.,sec_edgar,,,,,0
Live Oak Acquisition Corp. V,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"ETOILES CAPITAL GROUP CO., LTD",sec_edgar,,,greenhouse,ec,2
HUHUTECH International Group Inc.,sec_edgar,,,,,0
Ready Capital Corp,"sec_edgar,sec_edgar,sec_edgar,sec_edgar",,,,,0
"ALICO, INC.",sec_edgar,,,,,0
AMARIN CORP PLCUK,sec_edgar,,,greenhouse,acp,3
SPROTT FOCUS TRUST INC.,sec_edgar,,,,,0
"RideNow Group, Inc.",sec_edgar,,,,,0
"Niagen Bioscience, Inc.",sec_edgar,,,lever,niagenbioscience,2
Holley Inc.,"sec_edgar,sec_edgar",,,,,0
GSR IV Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"FS Bancorp, Inc.",sec_edgar,,,,,0
JENA ACQUISITION Corp II,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"Armata Pharmaceuticals, Inc.",sec_edgar,,,,,0
"Senseonics Holdings, Inc.",sec_edgar,,,,,0
Highview Merger Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"John Marshall Bancorp, Inc.",sec_edgar,,,,,0
Eagle Nuclear Energy Corp.,"sec_edgar,sec_edgar",,,,,0
TEMPLETON EMERGING MARKETS INCOME FUND,"sec_edgar,sec_edgar",,,,,0
"Eledon Pharmaceuticals, Inc.",sec_edgar,,,,,0
"BNY MELLON STRATEGIC MUNICIPAL BOND FUND, INC.",sec_edgar,,,,,0
Atomera Inc,sec_edgar,,,,,0
"BLUE RIDGE BANKSHARES, INC.",sec_edgar,,,lever,blue,3
STRATTEC SECURITY CORP,sec_edgar,,,,,0
"ANVI GLOBAL HOLDINGS, INC.",sec_edgar,,,,,0
"Village Farms International, Inc.",sec_edgar,,,greenhouse,village,1
Silence Therapeutics plc,"sec_edgar,sec_edgar",,,,,0
Iron Horse Acquisition II Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
AC Immune SA,sec_edgar,,,,,0
General Purpose Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,,greenhouse,general,1
KINGSWAY Corp,"sec_edgar,sec_edgar",,,,,0
"Simulations Plus, Inc.",sec_edgar,,,,,0
Hall Chadwick Acquisition Corp,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"Global Asset Management Group, Inc.",sec_edgar,,,,,0
Cerro de Pasco Resources Inc.,sec_edgar,,,,,0
Relativity Holdings Inc.,sec_edgar,,,greenhouse,relativity,293
ONITY GROUP INC.,sec_edgar,,,,,0
Silicon Valley Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Repay Holdings Corp,sec_edgar,,,,,0
"TIGO ENERGY, INC.",sec_edgar,,,,,0
NewHold Investment Corp. III,"sec_edgar,sec_edgar,sec_edgar",,,,,0
GDEV Inc.,"sec_edgar,sec_edgar",,,,,0
AMTECH SYSTEMS INC,sec_edgar,,,,,0
Blue Acquisition Corp/Cayman,"sec_edgar,sec_edgar,sec_edgar",,,lever,blue,3
Eaton Vance Floating-Rate Income Trust,sec_edgar,,,,,0
"Capstone Energy Plus, Inc.",sec_edgar,,,,,0
Artius II Acquisition Inc.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
PUTNAM MUNICIPAL OPPORTUNITIES TRUST,sec_edgar,,,,,0
SITE Centers Corp.,sec_edgar,,,,,0
Virtus Convertible & Income Fund II,"sec_edgar,sec_edgar",,,,,0
Invesco Municipal Income Opportunities Trust,sec_edgar,,,,,0
Jaws Mustang Acquisition Corp,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Saba Capital Income & Opportunities Fund,sec_edgar,,,,,0
CN Healthy Food Tech Group Corp.,"sec_edgar,sec_edgar",,,,,0
COMPX INTERNATIONAL INC,sec_edgar,,,,,0
FIRST NORTHERN COMMUNITY BANCORP,sec_edgar,,,,,0
XAI Octagon Floating Rate & Alternative Income Trust,sec_edgar,,,,,0
Launchpad Cadenza Acquisition Corp I,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Coincheck Group N.V.,"sec_edgar,sec_edgar",,,,,0
Comstock Inc.,sec_edgar,,,greenhouse,comstock,61
MUNCY COLUMBIA FINANCIAL Corp,sec_edgar,,,,,0
Legato Merger Corp. III,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Nuveen Core Plus Impact Fund,sec_edgar,,,,,0
American Drive Acquisition Co,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"Omega Flex, Inc.",sec_edgar,,,,,0
INNOVATIVE SOLUTIONS & SUPPORT INC,sec_edgar,,,,,0
FG Imperii Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
NYLI MacKay DefinedTerm Muni Opportunities Fund,sec_edgar,,,,,0
"NU SKIN ENTERPRISES, INC.",sec_edgar,,,,,0
MACROGENICS INC,sec_edgar,,,,,0
WABASH NATIONAL Corp,sec_edgar,,,,,0
AerSale Corp,sec_edgar,,,,,0
Tudor Gold Corp.,sec_edgar,,,,,0
DoubleLine Opportunistic Credit Fund,sec_edgar,,,,,0
"INFINITY NATURAL RESOURCES, INC.",sec_edgar,,,,,0
Iris Acquisition Corp II,"sec_edgar,sec_edgar,sec_edgar",,,greenhouse,iris,5
Oak Valley Bancorp,sec_edgar,,,,,0
Portillo's Inc.,sec_edgar,,,,,0
Palladyne AI Corp.,"sec_edgar,sec_edgar",,,,,0
"Nuvectis Pharma, Inc.",sec_edgar,,,,,0
FIRST COMMUNITY CORP /SC/,sec_edgar,,,,,0
"NI Holdings, Inc.",sec_edgar,,,,,0
"FVCBankcorp, Inc.",sec_edgar,,,,,0
"RiverNorth Managed Duration Municipal Income Fund, Inc.",sec_edgar,,,,,0
"SAB Biotherapeutics, Inc.","sec_edgar,sec_edgar",,,,,0
NAM TAI PROPERTY INC.,sec_edgar,,,,,0
"LiveWire Group, Inc.","sec_edgar,sec_edgar",,,,,0
TEMPLETON DRAGON FUND INC,sec_edgar,,,,,0
BARINGS GLOBAL SHORT DURATION HIGH YIELD FUND,sec_edgar,,,,,0
"National CineMedia, Inc.",sec_edgar,,,greenhouse,national,4
SIERRA MADRE GOLD & SILVER LTD.,sec_edgar,,,,,0
Thayer Ventures Acquisition Corp II,"sec_edgar,sec_edgar,sec_edgar",,,,,0
MFS INTERMEDIATE INCOME TRUST,sec_edgar,,,,,0
X3 Acquisition Corp. Ltd.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Nuveen Core Equity Alpha Fund,sec_edgar,,,,,0
Horizon Technology Finance Corp,"sec_edgar,sec_edgar",,,lever,horizon,1
ALLSPRING GLOBAL DIVIDEND OPPORTUNITY FUND,sec_edgar,,,,,0
First Western Financial Inc,sec_edgar,,,greenhouse,firstwestern,34
King Copper Discovery Corp.,sec_edgar,,,,,0
BRT Apartments Corp.,sec_edgar,,,,,0
SilverBox Corp IV,"sec_edgar,sec_edgar,sec_edgar",,,,,0
CALIFORNIA FIRST LEASING CORP,sec_edgar,,,,,0
ENIGMATIG LTD,sec_edgar,,,,,0
"Funko, Inc.",sec_edgar,,,,,0
Xsolla SPAC 1,"sec_edgar,sec_edgar,sec_edgar",,,lever,xsolla,173
"Defi Technologies, Inc.",sec_edgar,,,,,0
enCore Energy Corp.,sec_edgar,,,greenhouse,encore,2
"ZIPRECRUITER, INC.",sec_edgar,,,greenhouse,ziprecruiter,35
Virtus Diversified Income & Convertible Fund,sec_edgar,,,,,0
KOREA FUND INC,sec_edgar,,,greenhouse,korea,1
A2Z CUST2MATE SOLUTIONS CORP.,sec_edgar,,,,,0
Hennessy Capital Investment Corp. VII,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"Western New England Bancorp, Inc.",sec_edgar,,,,,0
Muzero Acquisition Corp,"sec_edgar,sec_edgar,sec_edgar",,,greenhouse,ma,1
"Cantor Equity Partners I, Inc.",sec_edgar,,,,,0
Runway Growth Finance Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Zhihu Inc.,"sec_edgar,sec_edgar",,,,,0
FuboTV Inc.,sec_edgar,,,greenhouse,fubotv,8
Forafric Global PLC,"sec_edgar,sec_edgar",,,,,0
"ROCKY BRANDS, INC.",sec_edgar,,,,,0
"Xponential Fitness, Inc.",sec_edgar,,,,,0
"APPLIED ENERGETICS, INC.","sec_edgar,sec_edgar",,,,,0
Dynamix Corp III,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"Digimarc Parent, Inc.",sec_edgar,,,greenhouse,digimarc,6
AIFU Inc.,sec_edgar,,,,,0
Cambria Gold Mines Inc.,"sec_edgar,sec_edgar",,,,,0
"Protara Therapeutics, Inc.",sec_edgar,,,greenhouse,protaratherapeutics,9
TREDEGAR CORP,sec_edgar,,,,,0
SILVER BOW MINING CORP.,sec_edgar,,,,,0
"Cable One, Inc.",sec_edgar,,,,,0
Ares Commercial Real Estate Corp,sec_edgar,,,,,0
ALX ONCOLOGY HOLDINGS INC,sec_edgar,,,,,0
"Akebia Therapeutics, Inc.",sec_edgar,,,greenhouse,akebiatherapeutics,1
FORWARD AIR CORP,sec_edgar,,,greenhouse,forward,7
PUTNAM MANAGED MUNICIPAL INCOME TRUST,sec_edgar,,,,,0
"Sight Sciences, Inc.",sec_edgar,,,,,0
Stellus Capital Investment Corp,sec_edgar,,,,,0
"DUOS TECHNOLOGIES GROUP, INC.",sec_edgar,,,,,0
"Zentalis Pharmaceuticals, Inc.",sec_edgar,,,,,0
908 Devices Inc.,sec_edgar,,,,,0
So-Young International Inc.,sec_edgar,,,,,0
FIDELITY D & D BANCORP INC,sec_edgar,,,,,0
Oaktree Acquisition Corp. III Life Sciences,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Prenetics Global Ltd,"sec_edgar,sec_edgar",,,,,0
Cohen & Steers Real Estate Opportunities & Income Fund,sec_edgar,,,greenhouse,cohensteers,19
"Allied Energy, Inc.",sec_edgar,,,greenhouse,allied,6
Renalytix plc,"sec_edgar,sec_edgar",,,,,0
OCTAVE SPECIALTY GROUP INC,sec_edgar,,,greenhouse,octave,23
"Soluna Holdings, Inc","sec_edgar,sec_edgar",,,,,0
Eaton Vance National Municipal Opportunities Trust,sec_edgar,,,,,0
Real Asset Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Hamilton Beach Brands Holding Co,sec_edgar,,,,,0
FACT II Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
AirJoule Technologies Corp.,"sec_edgar,sec_edgar",,,,,0
"Virgin Galactic Holdings, Inc",sec_edgar,,,,,0
"Plum Acquisition Corp, IV","sec_edgar,sec_edgar,sec_edgar",,,,,0
KORYX COPPER INC.,sec_edgar,,,,,0
TRG Latin America Acquisitions Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
BUTLER NATIONAL CORP,sec_edgar,,,,,0
COMPUGEN LTD,sec_edgar,,,,,0
Newbury Street II Acquisition Corp,"sec_edgar,sec_edgar,sec_edgar",,,,,0
ESCALADE INC,sec_edgar,,,,,0
Calamos Long/Short Equity & Dynamic Income Trust,sec_edgar,,,,,0
FRANKLIN FINANCIAL SERVICES CORP /PA/,sec_edgar,,,,,0
U.S. GOLD CORP.,sec_edgar,,,greenhouse,us,1
"Perma-Pipe International Holdings, Inc.",sec_edgar,,,,,0
"RxSight, Inc.",sec_edgar,,,,,0
Willow Lane Acquisition Corp. II,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"Editas Medicine, Inc.",sec_edgar,,,,,0
Vendome Acquisition Corp I,"sec_edgar,sec_edgar,sec_edgar",,,,,0
1 800 FLOWERS COM INC,sec_edgar,,,,,0
LANTRONIX INC,sec_edgar,,,,,0
"HACKETT GROUP, INC.",sec_edgar,,,,,0
FIRST TRUST SENIOR FLOATING RATE INCOME FUND II,sec_edgar,,,,,0
"PIMCO STRATEGIC INCOME FUND, INC.",sec_edgar,,,,,0
Profound Medical Corp.,sec_edgar,,,greenhouse,pm,1
NEXPOINT DIVERSIFIED REAL ESTATE TRUST,"sec_edgar,sec_edgar",,,,,0
ALLSPRING MULTI-SECTOR INCOME FUND,sec_edgar,,,,,0
ASURE SOFTWARE INC,sec_edgar,,,,,0
AMES NATIONAL CORP,sec_edgar,,,,,0
ANAVEX LIFE SCIENCES CORP.,sec_edgar,,,,,0
JAKKS PACIFIC INC,sec_edgar,,,,,0
PENNANTPARK INVESTMENT CORP,sec_edgar,,,,,0
Nuveen AMT-Free Municipal Value Fund,sec_edgar,,,,,0
Clough Global Opportunities Fund,sec_edgar,,,,,0
Oportun Financial Corp,sec_edgar,,,greenhouse,oportun,43
SC II Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
FRANKLIN COVEY CO,sec_edgar,,,,,0
PAMT CORP,sec_edgar,,,,,0
Eagle Point Income Co Inc.,"sec_edgar,sec_edgar",,,,,0
"Commerce.com, Inc.",sec_edgar,,,,,0
FIRST NATIONAL CORP /VA/,sec_edgar,,,,,0
"RICHARDSON ELECTRONICS, LTD.",sec_edgar,,,,,0
MFS CHARTER INCOME TRUST,sec_edgar,,,,,0
Copley Acquisition Corp,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"CS Disco, Inc.",sec_edgar,,,,,0
PURE CYCLE CORP,sec_edgar,,,,,0
SECURITY NATIONAL FINANCIAL CORP,sec_edgar,,,,,0
Token Cat Ltd,sec_edgar,,,,,0
MFS MULTIMARKET INCOME TRUST,sec_edgar,,,,,0
Hot Chili Ltd,sec_edgar,,,,,0
Global Atomic Corp,sec_edgar,,,,,0
RGC RESOURCES INC,sec_edgar,,,,,0
Sino Green Land Corp.,sec_edgar,,,,,0
Pampa Metals Corp,sec_edgar,,,greenhouse,pm,1
Alpha Technology Group Ltd,sec_edgar,,,,,0
FIRST UNITED CORP/MD/,sec_edgar,,,,,0
"HAWTHORN BANCSHARES, INC.",sec_edgar,,,,,0
RADCOM LTD,sec_edgar,,,,,0
CHAIN BRIDGE BANCORP INC,sec_edgar,,,,,0
"Chicago Atlantic Real Estate Finance, Inc.",sec_edgar,,,greenhouse,chicago,1
Yorkville Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"CITIZENS, INC.",sec_edgar,,,,,0
"TPG Mortgage Investment Trust, Inc.","sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar",,,,,0
Solarius Capital Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"Alector, Inc.",sec_edgar,,,lever,alector,1
Pitanium Ltd,sec_edgar,,,,,0
Dynamix Corp,"sec_edgar,sec_edgar,sec_edgar",,,,,0
FRANKLIN LTD DURATION INCOME TRUST,sec_edgar,,,,,0
TerrAscend Corp.,sec_edgar,,,lever,terrascend,34
C & F FINANCIAL CORP,sec_edgar,,,,,0
"TWFG, Inc.",sec_edgar,,,,,0
Invest Green Acquisition Corp,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"Orchestra BioMed Holdings, Inc.",sec_edgar,,,greenhouse,orchestra,38
SPACSphere Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar,sec_edgar",,,greenhouse,sa,1
"Princeton Bancorp, Inc.",sec_edgar,,,,,0
"EVI INDUSTRIES, INC.",sec_edgar,,,,,0
SILICOM LTD.,sec_edgar,,,,,0
Wheels Up Experience Inc.,"sec_edgar,sec_edgar",,,,,0
"SmartRent, Inc.",sec_edgar,,,greenhouse,smartrent,9
Digital Asset Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Tantalus Systems Holding Inc.,sec_edgar,,,,,0
GoldMining Inc.,sec_edgar,,,,,0
Outdoor Holding Co,"sec_edgar,sec_edgar",,,,,0
CONDUENT Inc,sec_edgar,,,,,0
Tailwind 2.0 Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Foghorn Therapeutics Inc.,sec_edgar,,,,,0
FLYEXCLUSIVE INC.,"sec_edgar,sec_edgar",,,,,0
Melar Acquisition Corp. I/Cayman,"sec_edgar,sec_edgar,sec_edgar",,,,,0
NUVEEN REAL ESTATE INCOME FUND,sec_edgar,,,,,0
"Entrada Therapeutics, Inc.",sec_edgar,,,greenhouse,entradatherapeutics,5
"Minerva Neurosciences, Inc.",sec_edgar,,,,,0
STRATUS PROPERTIES INC,sec_edgar,,,,,0
POWER METALLIC MINES INC.,sec_edgar,,,,,0
"Cohen & Steers Select Preferred & Income Fund, Inc.",sec_edgar,,,greenhouse,cohensteers,19
"Coherus Oncology, Inc.",sec_edgar,,,,,0
Twelve Seas Investment Co III/Cayman,"sec_edgar,sec_edgar,sec_edgar",,,,,0
"Fossil Group, Inc.",sec_edgar,,,,,0
LCNB CORP,sec_edgar,,,,,0
Camp4 Therapeutics Corp,sec_edgar,,,,,0
Translational Development Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Titan Mining Corp,sec_edgar,,,,,0
Streamex Corp.,sec_edgar,,,,,0
"CODEXIS, INC.",sec_edgar,,,,,0
Virginia National Bankshares Corp,sec_edgar,,,,,0
TriplePoint Venture Growth BDC Corp.,sec_edgar,,,,,0
Limoneira CO,sec_edgar,,,,,0
Lovesac Co,sec_edgar,,,,,0
LAZARD GLOBAL TOTAL RETURN & INCOME FUND INC,sec_edgar,,,,,0
Galata Acquisition Corp. II,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Tonix Pharmaceuticals Holding Corp.,sec_edgar,,,greenhouse,tonixpharmaceuticals,17
Saba Capital Income & Opportunities Fund II,sec_edgar,,,,,0
SUMA Acquisition Corp,"sec_edgar,sec_edgar,sec_edgar",,,greenhouse,sa,1
TWIN DISC INC,sec_edgar,,,,,0
"Spok Holdings, Inc",sec_edgar,,,,,0
Insight Digital Partners II,"sec_edgar,sec_edgar,sec_edgar",,,,,0
KALTURA INC,sec_edgar,,,,,0
trivago N.V.,sec_edgar,,,greenhouse,trivago,8
Bluerock Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Imperial Petroleum Inc./Marshall Islands,"sec_edgar,sec_edgar",,,,,0
American Resources Corp,sec_edgar,,,,,0
"GCT Semiconductor Holding, Inc.","sec_edgar,sec_edgar",,,,,0
Black Spade Acquisition III Co,"sec_edgar,sec_edgar,sec_edgar",,,,,0
Stellar V Capital Corp. (Cayman Islands),"sec_edgar,sec_edgar,sec_edgar",,,,,0
"Canton Strategic Holdings, Inc.",sec_edgar,,,,,0
Jiayin Group Inc.,sec_edgar,,,,,0
"Starfighters Space, Inc.",sec_edgar,,,,,0
NXG Cushing Midstream Energy Fund,sec_edgar,,,,,0
Lanvin Group Holdings Ltd,"sec_edgar,sec_edgar",,,,,0
"KINGSTONE COMPANIES, INC.",sec_edgar,,,,,0
"FB Bancorp, Inc. /MD/",sec_edgar,,,,,0
"LENZ Therapeutics, Inc.",sec_edgar,,,,,0
COMMUNITY BANCORP /VT,sec_edgar,,,greenhouse,community,1
Magnitude International Ltd,sec_edgar,,,,,0
CERAGON NETWORKS LTD,sec_edgar,,,,,0
MEDALLION FINANCIAL CORP,"sec_edgar,sec_edgar",,,,,0
Adagene Inc.,sec_edgar,,,,,0
FLEXSTEEL INDUSTRIES INC,sec_edgar,,,lever,fi,11
NATIONAL BANKSHARES INC,sec_edgar,,,greenhouse,national,4
Helix Acquisition Corp. III,sec_edgar,,,,,0
AMERICAN REALTY INVESTORS INC,sec_edgar,,,,,0
"Exodus Movement, Inc.",sec_edgar,,,,,0
"Chicago Atlantic BDC, Inc.",sec_edgar,,,greenhouse,chicago,1
GRAFTECH INTERNATIONAL LTD,sec_edgar,,,,,0
Nova Minerals Ltd,"sec_edgar,sec_edgar,sec_edgar",,,,,0
INTEST CORP,sec_edgar,,,,,0
"Inhibikase Therapeutics, Inc.",sec_edgar,,,,,0
Kolibri Global Energy Inc.,sec_edgar,,,,,0
