company,sources,industry,headquarters
"Hudson Pacific Properties, Inc.","sec_edgar,sec_edgar",,
Xanadu Quantum Technologies Ltd,sec_edgar,,
Iridium Communications Inc.,sec_edgar,,
SEABOARD CORP /DE/,sec_edgar,,
VSE CORP,"sec_edgar,sec_edgar",,
UNIFIRST CORP,sec_edgar,,
Moelis & Co,sec_edgar,,
"WEST FRASER TIMBER CO., LTD",sec_edgar,,
Main Street Capital CORP,sec_edgar,,
Hapvida Participacoes e Investimentos S.A./ADR,sec_edgar,,
Graham Holdings Co,sec_edgar,,
Alliance Laundry Holdings Inc.,sec_edgar,,
Barratt Developments PLC/ADR,"sec_edgar,sec_edgar",,
Hamilton Lane INC,sec_edgar,,
SONOCO PRODUCTS CO,sec_edgar,,
TELEPHONE & DATA SYSTEMS INC /DE/,"sec_edgar,sec_edgar,sec_edgar",,
QuantumScape Corp,sec_edgar,,
Netskope Inc,sec_edgar,,
"LAUREATE EDUCATION, INC.",sec_edgar,,
METHANEX CORP,sec_edgar,,
CRISPR Therapeutics AG,sec_edgar,,
"Navan, Inc.",sec_edgar,,
PATTERSON UTI ENERGY INC,sec_edgar,,
"FTI CONSULTING, INC",sec_edgar,,
"Lazard, Inc.",sec_edgar,,
Ondas Inc.,sec_edgar,,
Eregli Demir ve Celik Fabrikalari TAS/ADR,sec_edgar,,
PLUG POWER INC,sec_edgar,,
NELNET INC,sec_edgar,,
"GRUPO SIMEC, S.A.B. de C.V.",sec_edgar,,
Macro Bank Inc.,sec_edgar,,
FIRST FINANCIAL BANKSHARES INC,sec_edgar,,
MDU RESOURCES GROUP INC,sec_edgar,,
"Millrose Properties, Inc.",sec_edgar,,
Reynolds Consumer Products Inc.,sec_edgar,,
Zeta Global Holdings Corp.,sec_edgar,,
AXCELIS TECHNOLOGIES INC,sec_edgar,,
CTF Services Ltd,"sec_edgar,sec_edgar",,
"Remitly Global, Inc.",sec_edgar,,
ALGONQUIN POWER & UTILITIES CORP.,"sec_edgar,sec_edgar,sec_edgar",,
"PennyMac Financial Services, Inc.",sec_edgar,,
UFP INDUSTRIES INC,sec_edgar,,
"Klaviyo, Inc.",sec_edgar,,
Gitlab Inc.,sec_edgar,,
VAIL RESORTS INC,sec_edgar,,
Maase Inc.,sec_edgar,,
INTERNATIONAL BANCSHARES CORP,sec_edgar,,
Kenon Holdings Ltd.,sec_edgar,,
"ExlService Holdings, Inc.",sec_edgar,,
Evolution Metals & Technologies Corp.,sec_edgar,,
"WARRIOR MET COAL, INC.",sec_edgar,,
EPR PROPERTIES,"sec_edgar,sec_edgar,sec_edgar,sec_edgar",,
Crescent Energy Co,sec_edgar,,
DIODES INC /DEL/,sec_edgar,,
"Caris Life Sciences, Inc.",sec_edgar,,
"ARRAY DIGITAL INFRASTRUCTURE, INC.","sec_edgar,sec_edgar,sec_edgar,sec_edgar",,
Hafnia Ltd,sec_edgar,,
"Vita Coco Company, Inc.",sec_edgar,,
"Indivior Pharmaceuticals, Inc.",sec_edgar,,
HERC HOLDINGS INC,sec_edgar,,
Sotera Health Co,sec_edgar,,
"ALASKA AIR GROUP, INC.",sec_edgar,,
"Frontdoor, Inc.",sec_edgar,,
Archer Aviation Inc.,"sec_edgar,sec_edgar",,
"Post Holdings, Inc.",sec_edgar,,
"Mirion Technologies, Inc.",sec_edgar,,
TFS Financial CORP,sec_edgar,,
"CNO Financial Group, Inc.","sec_edgar,sec_edgar",,
"Lemonade, Inc.",sec_edgar,,
"NorthWestern Energy Group, Inc.",sec_edgar,,
"Veradermics, Inc",sec_edgar,,
"ACI WORLDWIDE, INC.",sec_edgar,,
BRINKS CO,sec_edgar,,
"CSW INDUSTRIALS, INC.",sec_edgar,,
BBB FOODS INC,sec_edgar,,
"RESIDEO TECHNOLOGIES, INC.",sec_edgar,,
CONSTELLIUM SE,sec_edgar,,
"LG Display Co., Ltd.",sec_edgar,,
LIGAND PHARMACEUTICALS INC,"sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar",,
"Beijing Geekplus Technology Co., Ltd./ADR","sec_edgar,sec_edgar",,
COUSINS PROPERTIES INC,sec_edgar,,
MINISO Group Holding Ltd,"sec_edgar,sec_edgar",,
MATTEL INC /DE/,sec_edgar,,
"Cactus, Inc.",sec_edgar,,
TEXAS CAPITAL BANCSHARES INC/TX,"sec_edgar,sec_edgar",,
COMMVAULT SYSTEMS INC,sec_edgar,,
GAS TRANSPORTER OF THE SOUTH INC,sec_edgar,,
WillScot Holdings Corp,sec_edgar,,
"USA Compression Partners, LP",sec_edgar,,
"Boot Barn Holdings, Inc.",sec_edgar,,
"International Seaways, Inc.",sec_edgar,,
FRANKLIN ELECTRIC CO INC,sec_edgar,,
Covista Inc.,sec_edgar,,
MATERION Corp,sec_edgar,,
Pampa Energy Inc.,"sec_edgar,sec_edgar",,
"Eastern Bankshares, Inc.",sec_edgar,,
AAR CORP,sec_edgar,,
"RadNet, Inc.",sec_edgar,,
Orla Mining Ltd.,sec_edgar,,
Meritage Homes CORP,sec_edgar,,
Andersen Group Inc.,sec_edgar,,
Opendoor Technologies Inc.,"sec_edgar,sec_edgar,sec_edgar,sec_edgar",,
VALVOLINE INC,sec_edgar,,
UNIVERSAL DISPLAY CORP \PA\,sec_edgar,,
"Hinge Health, Inc.",sec_edgar,,
"ServisFirst Bancshares, Inc.",sec_edgar,,
COMSTOCK RESOURCES INC,sec_edgar,,
"Grand Canyon Education, Inc.",sec_edgar,,
TIDEWATER INC,"sec_edgar,sec_edgar,sec_edgar",,
Rightmove PLC/ADR,"sec_edgar,sec_edgar",,
ENERGY FUELS INC,sec_edgar,,
"Core Natural Resources, Inc.",sec_edgar,,
"Shift4 Payments, Inc.","sec_edgar,sec_edgar",,
NewAmsterdam Pharma Co N.V.,"sec_edgar,sec_edgar",,
Kingsoft Cloud Holdings Ltd,"sec_edgar,sec_edgar",,
IMPINJ INC,sec_edgar,,
"Fortune Brands Innovations, Inc.",sec_edgar,,
"Kiniksa Pharmaceuticals International, plc",sec_edgar,,
FEDERAL HOME LOAN MORTGAGE CORP,"sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar",,
Knife River Corp,sec_edgar,,
Science Applications International Corp,sec_edgar,,
PLDT Inc.,"sec_edgar,sec_edgar",,
SLM Corp,"sec_edgar,sec_edgar",,
AMERICOLD REALTY TRUST,sec_edgar,,
Montage Gold Corp.,sec_edgar,,
Inficon Holding AG/ADR,"sec_edgar,sec_edgar",,
AZZ INC,sec_edgar,,
"KBR, INC.",sec_edgar,,
TANGER INC.,sec_edgar,,
FULTON FINANCIAL CORP,"sec_edgar,sec_edgar",,
"Enova International, Inc.",sec_edgar,,
BELDEN INC.,sec_edgar,,
"Helmerich & Payne, Inc.",sec_edgar,,
"Broadstone Net Lease, Inc.",sec_edgar,,
monday.com Ltd.,sec_edgar,,
"FEDERATED HERMES, INC.",sec_edgar,,
MakeMyTrip Ltd,sec_edgar,,
DNP SELECT INCOME FUND INC,sec_edgar,,
Scorpio Tankers Inc.,sec_edgar,,
TUTOR PERINI CORP,sec_edgar,,
"Excelerate Energy, Inc.",sec_edgar,,
NGEx Minerals Ltd.,sec_edgar,,
CORPORACION AMERICA AIRPORTS S.A.,sec_edgar,,
BRP Inc.,sec_edgar,,
Travel & Leisure Co.,sec_edgar,,
LivaNova PLC,sec_edgar,,
"Travere Therapeutics, Inc.",sec_edgar,,
CABOT CORP,sec_edgar,,
"INDEPENDENCE REALTY TRUST, INC.",sec_edgar,,
BRADY CORP,sec_edgar,,
SILGAN HOLDINGS INC,sec_edgar,,
"NLIGHT, INC.",sec_edgar,,
KILROY REALTY CORP,sec_edgar,,
Liberty Global Ltd.,"sec_edgar,sec_edgar,sec_edgar",,
Vontier Corp,sec_edgar,,
WPP plc,"sec_edgar,sec_edgar",,
Atmus Filtration Technologies Inc.,sec_edgar,,
AUMOVIO SE,"sec_edgar,sec_edgar",,
"Planet Fitness, Inc.",sec_edgar,,
UNITED COMMUNITY BANKS INC,sec_edgar,,
"Mueller Water Products, Inc.",sec_edgar,,
Adaro Energy PT/ADR/,"sec_edgar,sec_edgar",,
TREX CO INC,sec_edgar,,
"CLEANSPARK, INC.","sec_edgar,sec_edgar",,
Sportradar Group AG,sec_edgar,,
Marex Group plc,sec_edgar,,
"RXO, Inc.",sec_edgar,,
THOR INDUSTRIES INC,sec_edgar,,
"Amneal Pharmaceuticals, Inc.",sec_edgar,,
PVH CORP. /DE/,sec_edgar,,
"Champion Homes, Inc.",sec_edgar,,
"Nippon Express Holdings, Inc./ADR","sec_edgar,sec_edgar",,
Hilton Grand Vacations Inc.,sec_edgar,,
Fermi Inc.,sec_edgar,,
Envista Holdings Corp,sec_edgar,,
TRANSALTA CORP,"sec_edgar,sec_edgar,sec_edgar,sec_edgar",,
POWER INTEGRATIONS INC,sec_edgar,,
MERIT MEDICAL SYSTEMS INC,sec_edgar,,
"iRhythm Holdings, Inc.",sec_edgar,,
Neptune Insurance Holdings Inc.,sec_edgar,,
"CAVCO INDUSTRIES, INC.",sec_edgar,,
"BillionToOne, Inc.",sec_edgar,,
CATHAY GENERAL BANCORP,sec_edgar,,
OCEANEERING INTERNATIONAL INC,sec_edgar,,
"CATALYST PHARMACEUTICALS, INC.",sec_edgar,,
"Crinetics Pharmaceuticals, Inc.",sec_edgar,,
GRIFFON CORP,sec_edgar,,
Howard Hughes Holdings Inc.,sec_edgar,,
INDEPENDENT BANK CORP,sec_edgar,,
"BILL Holdings, Inc.",sec_edgar,,
RENASANT CORP,sec_edgar,,
"Hagerty, Inc.",sec_edgar,,
VEON Ltd.,sec_edgar,,
Victoria's Secret & Co.,sec_edgar,,
Pony AI Inc.,"sec_edgar,sec_edgar",,
"Stride, Inc.",sec_edgar,,
REAVES UTILITY INCOME FUND,sec_edgar,,
NATIONAL HEALTH INVESTORS INC,sec_edgar,,
"StubHub Holdings, Inc.",sec_edgar,,
BAYTEX ENERGY CORP.,sec_edgar,,
GROUP 1 AUTOMOTIVE INC,sec_edgar,,
"Doximity, Inc.",sec_edgar,,
"OPENLANE, Inc.",sec_edgar,,
WSFS FINANCIAL CORP,sec_edgar,,
FIRST BANCORP /PR/,sec_edgar,,
ST JOE Co,sec_edgar,,
easyJet plc,"sec_edgar,sec_edgar",,
BANCFIRST CORP /OK/,"sec_edgar,sec_edgar",,
Webull Corp,"sec_edgar,sec_edgar",,
CAL-MAINE FOODS INC,sec_edgar,,
SunocoCorp LLC,sec_edgar,,
"F&G Annuities & Life, Inc.","sec_edgar,sec_edgar,sec_edgar",,
Kinetik Holdings Inc.,sec_edgar,,
Waystar Holding Corp.,sec_edgar,,
"COHEN & STEERS, INC.",sec_edgar,,
COPT DEFENSE PROPERTIES,sec_edgar,,
DANA Inc,sec_edgar,,
"Oruka Therapeutics, Inc.",sec_edgar,,
"SOUNDHOUND AI, INC.","sec_edgar,sec_edgar",,
Lionsgate Studios Corp.,sec_edgar,,
KADANT INC,sec_edgar,,
VARONIS SYSTEMS INC,sec_edgar,,
Skeena Resources Ltd,sec_edgar,,
"RingCentral, Inc.",sec_edgar,,
Accelerant Holdings,sec_edgar,,
ANDINA BOTTLING CO INC,"sec_edgar,sec_edgar",,
Otter Tail Corp,sec_edgar,,
BLACKBERRY Ltd,sec_edgar,,
AMBARELLA INC,sec_edgar,,
"ITRON, INC.",sec_edgar,,
"Kontoor Brands, Inc.",sec_edgar,,
"VERACYTE, INC.",sec_edgar,,
Aris Mining Corp,sec_edgar,,
"NEWMARK GROUP, INC.",sec_edgar,,
ALLIANCEBERNSTEIN HOLDING L.P.,sec_edgar,,
"Ultra Clean Holdings, Inc.",sec_edgar,,
NUSCALE POWER Corp,sec_edgar,,
"Brighthouse Financial, Inc.","sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar",,
Ermenegildo Zegna N.V.,sec_edgar,,
Polaris Inc.,sec_edgar,,
"GREIF, INC","sec_edgar,sec_edgar",,
CVB FINANCIAL CORP,sec_edgar,,
ACADIA PHARMACEUTICALS INC,sec_edgar,,
GENWORTH FINANCIAL INC,sec_edgar,,
"BETA Technologies, Inc.",sec_edgar,,
BOX INC,"sec_edgar,sec_edgar",,
BRIGHT HORIZONS FAMILY SOLUTIONS INC.,sec_edgar,,
"QUALYS, INC.",sec_edgar,,
"BREAD FINANCIAL HOLDINGS, INC.","sec_edgar,sec_edgar,sec_edgar",,
Organon & Co.,sec_edgar,,
TechCreate Group Ltd.,sec_edgar,,
"Edgewise Therapeutics, Inc.",sec_edgar,,
Sezzle Inc.,sec_edgar,,
Pattern Group Inc.,sec_edgar,,
dLocal Ltd,sec_edgar,,
NOVAGOLD RESOURCES INC,sec_edgar,,
"Dorman Products, Inc.",sec_edgar,,
"Fluence Energy, Inc.",sec_edgar,,
ASSURED GUARANTY LTD,sec_edgar,,
"Option Care Health, Inc.",sec_edgar,,
Wingstop Inc.,sec_edgar,,
"GPGI, Inc.",sec_edgar,,
OSI SYSTEMS INC,sec_edgar,,
Telix Pharmaceuticals Ltd,"sec_edgar,sec_edgar",,
"Erasca, Inc.",sec_edgar,,
VEECO INSTRUMENTS INC,sec_edgar,,
PERPETUA RESOURCES CORP.,sec_edgar,,
"Atlanta Braves Holdings, Inc.","sec_edgar,sec_edgar,sec_edgar",,
KORN FERRY,sec_edgar,,
"Alignment Healthcare, Inc.",sec_edgar,,
BW LPG Ltd,sec_edgar,,
BADGER METER INC,sec_edgar,,
"SOLAREDGE TECHNOLOGIES, INC.",sec_edgar,,
"Viking Therapeutics, Inc.",sec_edgar,,
FIRST INTERSTATE BANCSYSTEM INC,sec_edgar,,
"Apple Hospitality REIT, Inc.",sec_edgar,,
"GOLUB CAPITAL BDC, Inc.",sec_edgar,,
AVISTA CORP,sec_edgar,,
SCOTTS MIRACLE-GRO CO,sec_edgar,,
Cosan S.A.,sec_edgar,,
Enerflex Ltd.,sec_edgar,,
"YETI Holdings, Inc.",sec_edgar,,
ASBURY AUTOMOTIVE GROUP INC,sec_edgar,,
"Bath & Body Works, Inc.",sec_edgar,,
TORM plc,sec_edgar,,
Nuveen AMT-Free Quality Municipal Income Fund,sec_edgar,,
CVR ENERGY INC,sec_edgar,,
Seadrill Ltd,sec_edgar,,
"BankUnited, Inc.",sec_edgar,,
York Space Systems Inc.,sec_edgar,,
"COMMUNITY FINANCIAL SYSTEM, INC.",sec_edgar,,
Chemours Co,sec_edgar,,
ABERCROMBIE & FITCH CO /DE/,sec_edgar,,
Cellebrite DI Ltd.,sec_edgar,,
Twist Bioscience Corp,sec_edgar,,
NCR Atleos Corp,sec_edgar,,
CENTRUS ENERGY CORP,sec_edgar,,
Centerra Gold Inc.,sec_edgar,,
GULFPORT ENERGY CORP,sec_edgar,,
Allied Gold Corp,sec_edgar,,
"FIRST HAWAIIAN, INC.",sec_edgar,,
SKYWEST INC,sec_edgar,,
NATIONAL BEVERAGE CORP,sec_edgar,,
SEABRIDGE GOLD INC,sec_edgar,,
CORVEL CORP,sec_edgar,,
Madison Square Garden Entertainment Corp.,sec_edgar,,
WESBANCO INC,"sec_edgar,sec_edgar",,
"M/I HOMES, INC.",sec_edgar,,
Mechanics Bancorp,sec_edgar,,
SPROTT INC.,sec_edgar,,
"MiniMed Group, Inc.",sec_edgar,,
Sunrun Inc.,sec_edgar,,
"Himax Technologies, Inc.",sec_edgar,,
"Concentra Group Holdings Parent, Inc.",sec_edgar,,
"Academy Sports & Outdoors, Inc.",sec_edgar,,
Kyivstar Group Ltd.,"sec_edgar,sec_edgar",,
HAWKINS INC,sec_edgar,,
Bitdeer Technologies Group,sec_edgar,,
ICU MEDICAL INC/DE,sec_edgar,,
CALAMOS STRATEGIC TOTAL RETURN FUND,sec_edgar,,
FULLER H B CO,sec_edgar,,
"Hamilton Insurance Group, Ltd.",sec_edgar,,
ALLIANCE RESOURCE PARTNERS LP,sec_edgar,,
"Life360, Inc.","sec_edgar,sec_edgar",,
FIRST FINANCIAL BANCORP /OH/,sec_edgar,,
SL GREEN REALTY CORP,"sec_edgar,sec_edgar",,
BKV Corp,sec_edgar,,
Hesai Group,"sec_edgar,sec_edgar",,
"Vesta Real Estate Corporation, S.A.B. de C.V.",sec_edgar,,
Brookdale Senior Living Inc.,sec_edgar,,
NEXTNAV INC.,"sec_edgar,sec_edgar,sec_edgar",,
"MAXIMUS, INC.",sec_edgar,,
"Chefs' Warehouse, Inc.",sec_edgar,,
eToro Group Ltd.,sec_edgar,,
Hypermarcas S.A.,sec_edgar,,
ATS Corp /ATS,sec_edgar,,
NATIONAL HEALTHCARE CORP,sec_edgar,,
TERADATA CORP /DE/,sec_edgar,,
SIGNET JEWELERS LTD,sec_edgar,,
HYCROFT MINING HOLDING CORP,"sec_edgar,sec_edgar",,
Integer Holdings Corp,sec_edgar,,
GEO GROUP INC,sec_edgar,,
Dave Inc./DE,"sec_edgar,sec_edgar",,
ACADIA REALTY TRUST,sec_edgar,,
BANK OF HAWAII CORP,"sec_edgar,sec_edgar,sec_edgar",,
INNODATA INC,sec_edgar,,
COLUMBIA SPORTSWEAR CO,sec_edgar,,
"Cinemark Holdings, Inc.",sec_edgar,,
SIMMONS FIRST NATIONAL CORP,sec_edgar,,
AVIENT CORP,sec_edgar,,
LXP Industrial Trust,"sec_edgar,sec_edgar",,
STANDEX INTERNATIONAL CORP/DE/,sec_edgar,,
FS KKR Capital Corp,sec_edgar,,
ADVANCE AUTO PARTS INC,sec_edgar,,
"Paymentus Holdings, Inc.",sec_edgar,,
MARZETTI CO,sec_edgar,,
EXTREME NETWORKS INC,sec_edgar,,
UNITED NATURAL FOODS INC,sec_edgar,,
"Palomar Holdings, Inc.",sec_edgar,,
"DigitalBridge Group, Inc.","sec_edgar,sec_edgar,sec_edgar,sec_edgar",,
MEDICAL PROPERTIES TRUST INC,sec_edgar,,
PARK NATIONAL CORP /OH/,sec_edgar,,
"Tango Therapeutics, Inc.",sec_edgar,,
"PAR PACIFIC HOLDINGS, INC.",sec_edgar,,
"10x Genomics, Inc.",sec_edgar,,
CHESAPEAKE UTILITIES CORP,sec_edgar,,
IAC Inc.,sec_edgar,,
ASTRONICS CORP,"sec_edgar,sec_edgar",,
Star Bulk Carriers Corp.,sec_edgar,,
TOOTSIE ROLL INDUSTRIES INC,"sec_edgar,sec_edgar",,
"BLACKSTONE MORTGAGE TRUST, INC.",sec_edgar,,
Banco BBVA Argentina S.A.,sec_edgar,,
ZIM Integrated Shipping Services Ltd.,sec_edgar,,
"ADAMS DIVERSIFIED EQUITY FUND, INC.",sec_edgar,,
NICOLET BANKSHARES INC,sec_edgar,,
Versigent PLC,sec_edgar,,
PT XLSMART Telecom Sejahtera Tbk/ADR,"sec_edgar,sec_edgar",,
Knowles Corp,sec_edgar,,
Cushman & Wakefield Ltd.,sec_edgar,,
COHEN & STEERS INFRASTRUCTURE FUND INC,sec_edgar,,
Boyd Group Services Inc.,sec_edgar,,
Warby Parker Inc.,sec_edgar,,
CHEESECAKE FACTORY INC,sec_edgar,,
OLIN Corp,sec_edgar,,
"e.l.f. Beauty, Inc.",sec_edgar,,
Curbline Properties Corp.,sec_edgar,,
Flowco Holdings Inc.,sec_edgar,,
Denali Therapeutics Inc.,sec_edgar,,
UNITED STATES LIME & MINERALS INC,sec_edgar,,
"Arcus Biosciences, Inc.",sec_edgar,,
PATRICK INDUSTRIES INC,sec_edgar,,
"Centuri Holdings, Inc.",sec_edgar,,
AMERICAN STATES WATER CO,sec_edgar,,
"Hayward Holdings, Inc.",sec_edgar,,
SEACOAST BANKING CORP OF FLORIDA,sec_edgar,,
BENCHMARK ELECTRONICS INC,sec_edgar,,
"Black Stone Minerals, L.P.",sec_edgar,,
"STEVEN MADDEN, LTD.",sec_edgar,,
"DHT Holdings, Inc.",sec_edgar,,
"Q2 Holdings, Inc.",sec_edgar,,
KB HOME,sec_edgar,,
"WisdomTree, Inc.",sec_edgar,,
PHOTRONICS INC,sec_edgar,,
Redwire Corp,sec_edgar,,
BEL FUSE INC /NJ,"sec_edgar,sec_edgar",,
"LifeStance Health Group, Inc.",sec_edgar,,
"Hercules Capital, Inc.","sec_edgar,sec_edgar",,
"Privia Health Group, Inc.",sec_edgar,,
CECO ENVIRONMENTAL CORP,sec_edgar,,
Urban Edge Properties,sec_edgar,,
VISTEON CORP,sec_edgar,,
Adeia Inc.,sec_edgar,,
GRAPHIC PACKAGING HOLDING CO,sec_edgar,,
"VNET Group, Inc.",sec_edgar,,
"NMI Holdings, Inc.",sec_edgar,,
"Dyne Therapeutics, Inc.",sec_edgar,,
Nuveen Preferred & Income Opportunities Fund,sec_edgar,,
"BANC OF CALIFORNIA, INC.","sec_edgar,sec_edgar",,
INTERPARFUMS INC,sec_edgar,,
PROVIDENT FINANCIAL SERVICES INC,sec_edgar,,
FORTUNA MINING CORP.,sec_edgar,,
JOYY Inc.,sec_edgar,,
DENISON MINES CORP.,sec_edgar,,
MGE ENERGY INC,sec_edgar,,
"HawkEye 360, Inc.",sec_edgar,,
"HIGHWOODS PROPERTIES, INC.",sec_edgar,,
Eaton Vance Tax-Managed Global Diversified Equity Income Fund,sec_edgar,,
"Babcock & Wilcox Enterprises, Inc.","sec_edgar,sec_edgar,sec_edgar",,
PEABODY ENERGY CORP,sec_edgar,,
TMC the metals Co Inc.,"sec_edgar,sec_edgar",,
"Green Brick Partners, Inc.","sec_edgar,sec_edgar",,
Titan America SA,sec_edgar,,
"GRAIL, Inc.",sec_edgar,,
"WOLFSPEED, INC.",sec_edgar,,
"SUPERNUS PHARMACEUTICALS, INC.",sec_edgar,,
EXPONENT INC,sec_edgar,,
"Tenable Holdings, Inc.",sec_edgar,,
Ero Copper Corp.,sec_edgar,,
Callaway Golf Co,sec_edgar,,
WD 40 CO,sec_edgar,,
"Select Water Solutions, Inc.",sec_edgar,,
ALUMIS INC.,sec_edgar,,
Beam Therapeutics Inc.,sec_edgar,,
IHS Holding Ltd,sec_edgar,,
"Tarsus Pharmaceuticals, Inc.",sec_edgar,,
INSIGHT ENTERPRISES INC,sec_edgar,,
"Calumet, Inc. /DE",sec_edgar,,
SiriusPoint Ltd,sec_edgar,,
SILVERCORP METALS INC,sec_edgar,,
NETSCOUT SYSTEMS INC,sec_edgar,,
ARCBEST CORP /DE/,sec_edgar,,
ENDEAVOUR SILVER CORP,sec_edgar,,
DYNEX CAPITAL INC,"sec_edgar,sec_edgar",,
HAEMONETICS CORP,sec_edgar,,
KAISER ALUMINUM CORP,sec_edgar,,
"Upstart Holdings, Inc.",sec_edgar,,
PHINIA INC.,sec_edgar,,
"Four Corners Property Trust, Inc.",sec_edgar,,
TEEKAY TANKERS LTD.,sec_edgar,,
"Delek US Holdings, Inc.",sec_edgar,,
AMERICAN EAGLE OUTFITTERS INC,sec_edgar,,
FIH Mobile Ltd,"sec_edgar,sec_edgar",,
"Kyndryl Holdings, Inc.",sec_edgar,,
"Inter & Co, Inc.",sec_edgar,,
KENNAMETAL INC,sec_edgar,,
"Delek Logistics Partners, LP",sec_edgar,,
WORKIVA INC,sec_edgar,,
FB Financial Corp,sec_edgar,,
Shake Shack Inc.,sec_edgar,,
"WORTHINGTON ENTERPRISES, INC.",sec_edgar,,
Nuveen Quality Municipal Income Fund,sec_edgar,,
TALOS ENERGY INC.,sec_edgar,,
CCC Intelligent Solutions Holdings Inc.,sec_edgar,,
MCGRATH RENTCORP,sec_edgar,,
WHIRLPOOL CORP /DE/,"sec_edgar,sec_edgar",,
StoneCo Ltd.,sec_edgar,,
TRINITY INDUSTRIES INC,sec_edgar,,
ROBERT HALF INC.,sec_edgar,,
Western Union CO,sec_edgar,,
"Fastly, Inc.",sec_edgar,,
LCI INDUSTRIES,sec_edgar,,
EBOS Group Limited/ADR,"sec_edgar,sec_edgar",,
Uniti Group Inc.,sec_edgar,,
National Energy Services Reunited Corp.,sec_edgar,,
"Curaleaf Holdings, Inc.",sec_edgar,,
Nuveen AMT-Free Municipal Credit Income Fund,sec_edgar,,
Telesat Corp,sec_edgar,,
"Vistance Networks, Inc.",sec_edgar,,
Cadeler A/S,sec_edgar,,
FIRST ADVANTAGE CORP,sec_edgar,,
Structure Therapeutics Inc.,sec_edgar,,
WAFD INC,"sec_edgar,sec_edgar",,
"HELIOS TECHNOLOGIES, INC.",sec_edgar,,
PagSeguro Digital Ltd.,sec_edgar,,
"IDEAYA Biosciences, Inc.",sec_edgar,,
Polibeli Group Ltd,sec_edgar,,
"Kailera Therapeutics, Inc.",sec_edgar,,
TRUSTMARK CORP,sec_edgar,,
CALIFORNIA WATER SERVICE GROUP,sec_edgar,,
Samsonite International SA/ADR,"sec_edgar,sec_edgar",,
Artisan Partners Asset Management Inc.,sec_edgar,,
AEHR TEST SYSTEMS,sec_edgar,,
"EURONET WORLDWIDE, INC.",sec_edgar,,
RLX Technology Inc.,sec_edgar,,
"Arcutis Biotherapeutics, Inc.",sec_edgar,,
"Disc Medicine, Inc.",sec_edgar,,
Keel Infrastructure Corp.,sec_edgar,,
"Customers Bancorp, Inc.","sec_edgar,sec_edgar",,
ASHLAND INC.,sec_edgar,,
"Enliven Therapeutics, Inc.",sec_edgar,,
"CarGurus, Inc.",sec_edgar,,
"NORTHERN OIL & GAS, INC.",sec_edgar,,
Freshworks Inc.,sec_edgar,,
"Braze, Inc.",sec_edgar,,
MARRIOTT VACATIONS WORLDWIDE Corp,sec_edgar,,
GABELLI DIVIDEND & INCOME TRUST,"sec_edgar,sec_edgar,sec_edgar",,
Atkore Inc.,sec_edgar,,
InvenTrust Properties Corp.,sec_edgar,,
FIRST MERCHANTS CORP,"sec_edgar,sec_edgar",,
NIQ Global Intelligence plc,sec_edgar,,
RH,sec_edgar,,
Acadian Asset Management Inc.,sec_edgar,,
"HARLEY-DAVIDSON, INC.",sec_edgar,,
PIMCO CORPORATE & INCOME OPPORTUNITY FUND,sec_edgar,,
"Penguin Solutions, Inc.",sec_edgar,,
Nayax Ltd.,sec_edgar,,
Springer Nature AG & Co. KGaA/ADR,"sec_edgar,sec_edgar",,
"Relay Therapeutics, Inc.",sec_edgar,,
"Hub Group, Inc.",sec_edgar,,
"Vera Therapeutics, Inc.",sec_edgar,,
MACH NATURAL RESOURCES LP,sec_edgar,,
BUCKLE INC,sec_edgar,,
"DIEBOLD NIXDORF, Inc",sec_edgar,,
Huntsman CORP,sec_edgar,,
Atlas Energy Solutions Inc.,sec_edgar,,
FIRST BANCORP /NC/,sec_edgar,,
"CALIX, INC",sec_edgar,,
Tisco Financial Group Public Co Limited/ADR,sec_edgar,,
Immunome Inc.,sec_edgar,,
QUAKER CHEMICAL CORP,sec_edgar,,
"Infleqtion, Inc.","sec_edgar,sec_edgar",,
Aya Gold & Silver Inc.,"sec_edgar,sec_edgar",,
T1 Energy Inc.,"sec_edgar,sec_edgar",,
"Celldex Therapeutics, Inc.",sec_edgar,,
"Kayne Anderson Energy Infrastructure Fund, Inc.",sec_edgar,,
ONESPAWORLD HOLDINGS Ltd,sec_edgar,,
Ardagh Metal Packaging S.A.,"sec_edgar,sec_edgar",,
Danaos Corp,sec_edgar,,
TASEKO MINES LTD,sec_edgar,,
"Eos Energy Enterprises, Inc.",sec_edgar,,
Beacon Financial Corp,sec_edgar,,
DNOW Inc.,sec_edgar,,
"Andersons, Inc.",sec_edgar,,
Aircastle LTD,sec_edgar,,
WERNER ENTERPRISES INC,sec_edgar,,
CENTRAL GARDEN & PET CO,"sec_edgar,sec_edgar",,
Nuveen Municipal Credit Income Fund,sec_edgar,,
